date,year,month,water_consumption_tonnes_forecast,confidence_lower,confidence_upper
2023-04-30,2023,4,192220.99012442952,145071.20559694062,239370.77465191841
2023-05-31,2023,5,188888.56989893844,117020.09669955981,260757.04309831705
2023-06-30,2023,6,188407.9068329137,103284.46469376705,273531.34897206037
2023-07-31,2023,7,193279.55254417434,96703.5551284376,289855.5499599111
2023-08-31,2023,8,194736.53444149037,87929.01526582781,301544.0536171529
2023-09-30,2023,9,204834.69494773253,88693.53502859263,320975.8548668724
2023-10-31,2023,10,218301.91752048983,93523.34602701647,343080.4890139632
2023-11-30,2023,11,211928.65460549734,79073.03832279498,344784.2708881997
2023-12-31,2023,12,203735.01456946583,63266.022763932066,344204.0063749996
2024-01-31,2024,1,184474.48742299603,36784.06616649762,332164.9086794944
2024-02-29,2024,2,178430.5379702806,23855.69061579957,333005.3853247616
2024-03-31,2024,3,193855.7062081795,32690.2436696543,355021.1687467047
2024-04-30,2024,4,189988.90124754468,13951.97365219018,366025.8288428992
2024-05-31,2024,5,185592.31042785654,-5600.50805796514,376785.1289136782
2024-06-30,2024,6,185111.64736183174,-18491.0413544669,388714.3360781304
2024-07-31,2024,7,189983.2930730924,-25315.140748017147,405281.72689420194
2024-08-31,2024,8,191440.27497040847,-34950.48535281513,417831.03529363207
2024-09-30,2024,9,201538.43547665063,-35425.98614092378,438502.857094225
2024-10-31,2024,10,215005.6580494079,-32080.35504716239,462091.6711459782
2024-11-30,2024,11,208632.39513441542,-48176.597346863884,465441.3876156947
2024-12-31,2024,12,200438.7550983839,-65738.29008289779,466615.8002796656
2025-01-31,2025,1,181178.2279519141,-94048.18816742915,456404.6440712573
2025-02-28,2025,2,175134.27849919867,-108853.29328339582,459121.85028179316
2025-03-31,2025,3,190559.44673709758,-101926.96609014046,483045.8595643356
